"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,0.39137118277242,0.224,0.167,0,"MCUR1"
0,0.571014188352498,0.237,0.18,0,"CDK2AP1"
0,0.453824616399302,0.212,0.155,0,"AFMID"
0,0.317794101769905,0.295,0.238,0,"TMEM147"
0,0.265527178637966,0.253,0.196,0,"RAB5IF"
0,0.35277104915265,0.291,0.234,0,"ACP1"
0,0.370957860737618,0.624,0.568,0,"LAPTM4A"
0,0.480923392852731,0.777,0.721,0,"IGFBP7"
0,0.345748347706223,0.265,0.209,0,"PIN1"
0,0.433652669606984,0.271,0.215,0,"HSD17B10"
0,1.3597808742189,0.117,0.061,0,"FBXO2"
0,0.757330653201391,0.17,0.114,0,"NAPEPLD"
0,0.330812558939463,0.284,0.228,0,"RAD23A"
0,0.466402758105047,0.231,0.176,0,"HOXB7"
0,0.477276221891967,0.17,0.115,0,"GCHFR"
0,0.356935630006647,0.309,0.254,0,"POU3F3"
0,0.365583909697033,0.236,0.181,0,"NIT2"
0,0.4046842912991,0.397,0.342,0,"RTN3"
0,0.492404186649158,0.214,0.159,0,"MRPL21"
0,0.798795367812819,0.123,0.069,0,"UGT2A3"
0,0.503429535595571,0.206,0.152,0,"THY1"
0,0.517145457925414,0.215,0.161,0,"NUDT16L1"
0,0.804387616471865,0.197,0.144,0,"RAP1GAP"
0,0.542479568850041,0.199,0.146,0,"TMEM106C"
0,0.681480824470917,0.158,0.105,0,"PFKP"
0,0.641542396069328,0.184,0.131,0,"PLEKHH2"
0,0.344259055364964,0.223,0.17,0,"PPIC"
0,0.481345676470894,0.151,0.098,0,"FOXC1"
0,0.309170760664551,0.238,0.185,0,"MRPL18"
0,0.471586579563882,0.29,0.237,0,"CLDN7"
0,0.747823452566921,0.185,0.132,0,"RAB9A"
0,0.489723532440872,0.182,0.13,0,"AP1S1"
0,0.534723898855792,0.241,0.189,0,"SDC2"
0,0.358747459390635,0.209,0.157,0,"PTPMT1"
0,0.495722753464788,0.203,0.152,0,"APIP"
0,0.702775289627168,0.147,0.096,0,"NIPAL3"
0,0.500628212015596,0.172,0.121,0,"EBNA1BP2"
0,0.428092443274652,0.204,0.153,0,"MFSD10"
0,0.488754868053636,0.22,0.169,0,"RDH10"
0,0.400804957456418,0.185,0.134,0,"TSPAN4"
0,0.4611557904215,0.209,0.158,0,"TSR3"
0,0.577041426259551,0.197,0.147,0,"TPD52L1"
0,0.595960067112708,0.148,0.098,0,"TMEM68"
0,0.503409193081395,0.182,0.132,0,"TPGS1"
0,0.267054850323087,0.841,0.791,0,"FTL"
0,0.462230200317427,0.192,0.143,0,"G0S2"
0,0.488108760279998,0.196,0.147,0,"TM7SF2"
0,0.671250840884003,0.154,0.105,0,"ZNF32"
